OBJECTID_12,OBJECTID_1,OBJECTID,GIS_STREET,ON_STREET,FROM_STREE,TO_STREET,ST_CODE,SEG_ID,ONEWAY,CLASS,RESPONSIBL,L_HUNDRED,R_HUNDRED,BLOCKNUMBE,PRIMARYROA
459,,37986,,N LEITHGOW ST,PARRISH ST,DEAD END SOUTH,50100,441124,B,5, ,800,,111.02,Granite Block
460,,38225,,WOOD ST,N 02ND ST,N 05TH ST,84320,440888,TF,5, ,300,,210.03,Granite Block
461,,38226,,N ORIANNA ST,VINE ST,WOOD ST,61580,441757,FT,5, ,300,,143,Granite Block
462,,38285,,CRESSON ST,ROXBOROUGH AVE,LEVERING ST,25840,600581,B,4, ,4300,,51,Granite Block
463,,38363,,S REESE ST,DEAD END NORTH,QUEEN ST,67840,342583,B,5, ,700,,166,Granite Block
464,,38587,,BENJAMIN FRANKLIN BRG ACCESS RD,N 04TH ST,DEAD END EAST,1015,442197,B,12,DRPA,0,,14.03,Granite Block
465,,38590,,BENJAMIN FRANKLIN BRG ACCESS RD,N 04TH ST,DEAD END EAST,1015,442196,B,12,DRPA,0,,14.02,Granite Block
466,,38593,,BENJAMIN FRANKLIN BRG ACCESS RD,N 04TH ST,DEAD END EAST,1015,442195,B,12,DRPA,0,,14.01,Granite Block
467,,38596,,CHANCELLOR ST,S 21ST ST,DEAD END WEST,22300,423423,B,5,PRIVATE,2100,,40.02,Granite Block
468,,38597,,CHURCH ST,N AMERICAN ST,N 02ND ST,23140,442201,B,12,PRIVATE,200,,47.02,Granite Block
469,,38598,,S JESSUP ST,LOCUST ST,DEAD END SOUTH,46140,440609,B,5, ,200,,104.01,Red Brick
470,,38599,,S JESSUP ST,LOCUST ST,DEAD END SOUTH,46140,440588,B,5, ,200,,104.02,Red Brick
471,,38600,,QUINCE ST,WALNUT ST,SPRUCE ST,66560,440602,FT,5, ,200,,159.01,Granite Block
472,,38601,,QUINCE ST,WALNUT ST,SPRUCE ST,66560,440586,FT,5, ,200,,159.03,Granite Block
473,,38602,,IRVING ST,QUINCE ST,S JESSUP ST,45060,441196,B,5, ,1100,,103.01,Granite Block
474,,38603,,IRVING ST,QUINCE ST,S JESSUP ST,45060,442203,B,12,PRIVATE,1200,,103.02,Granite Block
475,,38608,,LELAND ST,WYLIE ST,DEAD END WEST,50140,423428,B,12,PHA,800,,113.11,Granite Block
476,,38609,,LELAND ST,WYLIE ST,DEAD END WEST,50140,423429,B,12,PHA,800,,113.12,Granite Block
477,,38610,,LITTLE BOYS CT,ARCH ST,CUTHBERT ST,51180,441935,B,12,PRIVATE,0,,115,Granite Block
478,,38613,,WOOD ST,N 02ND ST,N 05TH ST,84320,442208,TF,5, ,300,,210.042,Granite Block
479,,38614,,WOOD ST,N 02ND ST,N 05TH ST,84320,442207,TF,5, ,300,,210.041,Granite Block
480,,38617,,SAINT CHARLES PL,VINE ST,WOOD ST,1350,442211,FT,5,PRIVATE,300,,170,Granite Block
481,,38621,,WISTER ALY,N 03RD ST,DEAD END WEST,3285,442216,B,6,PRIVATE,300,,209,Granite Block
482,,38623,,SHAWMONT AVE,N SCHUYLKILL RIVER TRL,SHAWMONT AVE,72300,700602,B,5, ,0,,179,Granite Block
483,,38628,,SAINT JAMES WALK,DEAD END EAST,DEAD END WEST,1355,442219,B,12,PRIVATE,200,,171,Cobblestone
484,,38682,,FULTON ST,S 06TH ST,DEAD END WEST,35340,342585,B,5, ,600,,81.02,Red Brick
485,,39226,,GERMANTOWN AVE,ALLENS LANE,REX AVE,36660,820909,B,3,STATE,7500,,90.03,Granite Block
486,,39631,,N CARLISLE ST,LINDLEY AVE,W SOMERVILLE AVE,21400,721965,B,5, ,5300,,33.03,Red Brick
487,,39960,,ERRINGER PL,W CLAPIER ST,MANHEIM ST,32080,621679,B,5, ,5000,,72,Red Brick
